game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided,seasonality
1985-10-10,Toronto Maple Leafs,1,Boston Bruins,3,NaN,NaN,NaN,0
1985-10-10,Hartford Whalers,5,Buffalo Sabres,4,NaN,NaN,NaN,0
1985-10-10,Minnesota North Stars,6,Detroit Red Wings,6,NaN,NaN,OT,0
1985-10-10,Winnipeg Jets,3,Edmonton Oilers,4,NaN,NaN,NaN,0
1985-10-10,Vancouver Canucks,6,Los Angeles Kings,5,NaN,NaN,NaN,0
1985-10-10,Washington Capitals,2,New York Rangers,4,NaN,NaN,NaN,0
1985-10-10,New Jersey Devils,6,Philadelphia Flyers,5,NaN,NaN,NaN,0
1985-10-10,Montreal Canadiens,5,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1985-10-10,Chicago Black Hawks,2,Quebec Nordiques,6,NaN,NaN,NaN,0
1985-10-11,Winnipeg Jets,3,Calgary Flames,8,NaN,NaN,NaN,0
1985-10-12,Boston Bruins,9,Detroit Red Wings,2,NaN,NaN,NaN,0
1985-10-12,New York Rangers,2,Hartford Whalers,8,NaN,NaN,NaN,0
1985-10-12,New York Islanders,5,Los Angeles Kings,4,NaN,NaN,OT,0
1985-10-12,Buffalo Sabres,6,Minnesota North Stars,2,NaN,NaN,NaN,0
1985-10-12,Chicago Black Hawks,3,Montreal Canadiens,6,NaN,NaN,NaN,0
1985-10-12,Washington Capitals,1,New Jersey Devils,4,NaN,NaN,NaN,0
1985-10-12,Philadelphia Flyers,4,Pittsburgh Penguins,2,NaN,NaN,NaN,0
1985-10-12,Quebec Nordiques,4,Toronto Maple Leafs,0,NaN,NaN,NaN,0
1985-10-12,St. Louis Blues,4,Vancouver Canucks,3,NaN,NaN,NaN,0
1985-10-13,Montreal Canadiens,2,Boston Bruins,7,NaN,NaN,NaN,0
1985-10-13,Toronto Maple Leafs,5,Chicago Black Hawks,1,NaN,NaN,NaN,0
1985-10-13,St. Louis Blues,3,Edmonton Oilers,6,NaN,NaN,NaN,0
1985-10-13,Calgary Flames,9,Los Angeles Kings,2,NaN,NaN,NaN,0
1985-10-13,New Jersey Devils,3,New York Rangers,2,NaN,NaN,OT,0
1985-10-13,Quebec Nordiques,5,Winnipeg Jets,2,NaN,NaN,NaN,0
1985-10-13,Philadelphia Flyers,4,Washington Capitals,2,NaN,NaN,NaN,0
1985-10-14,Detroit Red Wings,1,Buffalo Sabres,6,NaN,NaN,NaN,0
1985-10-14,New York Islanders,2,Vancouver Canucks,4,NaN,NaN,NaN,0
1985-10-15,Minnesota North Stars,2,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1985-10-15,Hartford Whalers,1,Quebec Nordiques,4,NaN,NaN,NaN,0
1985-10-16,Pittsburgh Penguins,5,Chicago Black Hawks,5,NaN,NaN,OT,0
1985-10-16,St. Louis Blues,2,Calgary Flames,1,NaN,NaN,NaN,0
1985-10-16,Winnipeg Jets,4,Detroit Red Wings,3,NaN,NaN,NaN,0
1985-10-16,New York Islanders,4,Edmonton Oilers,6,NaN,NaN,NaN,0
1985-10-16,New York Rangers,3,Los Angeles Kings,4,NaN,NaN,NaN,0
1985-10-16,Buffalo Sabres,6,Montreal Canadiens,0,NaN,NaN,NaN,0
1985-10-16,Washington Capitals,6,Toronto Maple Leafs,5,NaN,NaN,OT,0
1985-10-16,Boston Bruins,3,Vancouver Canucks,3,NaN,NaN,OT,0
1985-10-17,Detroit Red Wings,1,Minnesota North Stars,10,NaN,NaN,NaN,0
1985-10-17,Hartford Whalers,4,New Jersey Devils,3,NaN,NaN,OT,0
1985-10-17,Quebec Nordiques,2,Philadelphia Flyers,1,NaN,NaN,NaN,0
1985-10-18,Washington Capitals,4,Buffalo Sabres,1,NaN,NaN,NaN,0
1985-10-18,Boston Bruins,2,Edmonton Oilers,3,NaN,NaN,NaN,0
1985-10-18,Los Angeles Kings,4,Vancouver Canucks,5,NaN,NaN,NaN,0
1985-10-19,Boston Bruins,6,Calgary Flames,3,NaN,NaN,NaN,0
1985-10-19,Chicago Black Hawks,6,Detroit Red Wings,2,NaN,NaN,NaN,0
1985-10-19,Montreal Canadiens,6,Hartford Whalers,11,NaN,NaN,NaN,0
1985-10-19,New York Rangers,4,New York Islanders,5,NaN,NaN,NaN,0
1985-10-19,Minnesota North Stars,3,Philadelphia Flyers,7,NaN,NaN,NaN,0
1985-10-19,Pittsburgh Penguins,3,Quebec Nordiques,4,NaN,NaN,NaN,0
1985-10-19,New Jersey Devils,3,St. Louis Blues,4,NaN,NaN,NaN,0
1985-10-19,Winnipeg Jets,4,Toronto Maple Leafs,3,NaN,NaN,NaN,0
1985-10-19,Buffalo Sabres,2,Washington Capitals,2,NaN,NaN,OT,0
1985-10-20,Philadelphia Flyers,5,Chicago Black Hawks,2,NaN,NaN,NaN,0
1985-10-20,Edmonton Oilers,8,Los Angeles Kings,5,NaN,NaN,NaN,0
1985-10-20,Vancouver Canucks,3,New York Rangers,4,NaN,NaN,NaN,0
1985-10-20,Calgary Flames,5,Winnipeg Jets,8,NaN,NaN,NaN,0
1985-10-21,Quebec Nordiques,3,Montreal Canadiens,2,NaN,NaN,NaN,0
1985-10-22,Boston Bruins,5,Los Angeles Kings,2,NaN,NaN,NaN,0
1985-10-22,St. Louis Blues,4,Minnesota North Stars,5,NaN,NaN,NaN,0
1985-10-22,Vancouver Canucks,2,New York Islanders,2,NaN,NaN,OT,0
1985-10-23,Montreal Canadiens,5,Buffalo Sabres,4,NaN,NaN,NaN,0
1985-10-23,Hartford Whalers,2,Chicago Black Hawks,9,NaN,NaN,NaN,0
1985-10-23,Washington Capitals,2,Calgary Flames,4,NaN,NaN,NaN,0
1985-10-23,Vancouver Canucks,5,Detroit Red Wings,0,NaN,NaN,NaN,0
1985-10-23,New Jersey Devils,1,New York Rangers,5,NaN,NaN,NaN,0
1985-10-23,Minnesota North Stars,4,St. Louis Blues,4,NaN,NaN,OT,0
1985-10-23,Pittsburgh Penguins,5,Toronto Maple Leafs,4,NaN,NaN,NaN,0
1985-10-23,Edmonton Oilers,3,Winnipeg Jets,9,NaN,NaN,NaN,0
1985-10-24,Chicago Black Hawks,6,New Jersey Devils,4,NaN,NaN,NaN,0
1985-10-24,Quebec Nordiques,5,New York Islanders,6,NaN,NaN,NaN,0
1985-10-24,Hartford Whalers,0,Philadelphia Flyers,3,NaN,NaN,NaN,0
1985-10-24,Toronto Maple Leafs,4,Pittsburgh Penguins,6,NaN,NaN,NaN,0
1985-10-25,Vancouver Canucks,4,Buffalo Sabres,5,NaN,NaN,NaN,0
1985-10-25,Calgary Flames,3,Edmonton Oilers,5,NaN,NaN,NaN,0
1985-10-25,Los Angeles Kings,0,New York Rangers,5,NaN,NaN,NaN,0
1985-10-25,Washington Capitals,7,Winnipeg Jets,7,NaN,NaN,OT,0
1985-10-26,Detroit Red Wings,4,Calgary Flames,7,NaN,NaN,NaN,0
1985-10-26,Hartford Whalers,3,Montreal Canadiens,5,NaN,NaN,NaN,0
1985-10-26,Los Angeles Kings,2,New Jersey Devils,5,NaN,NaN,NaN,0
1985-10-26,Quebec Nordiques,4,Pittsburgh Penguins,4,NaN,NaN,OT,0
1985-10-26,New York Islanders,5,St. Louis Blues,2,NaN,NaN,NaN,0
1985-10-26,Minnesota North Stars,7,Toronto Maple Leafs,5,NaN,NaN,NaN,0
1985-10-27,Minnesota North Stars,2,Buffalo Sabres,3,NaN,NaN,NaN,0
1985-10-27,Washington Capitals,4,Chicago Black Hawks,2,NaN,NaN,NaN,0
1985-10-27,Boston Bruins,1,New York Rangers,2,NaN,NaN,NaN,0
1985-10-27,Vancouver Canucks,4,Philadelphia Flyers,7,NaN,NaN,NaN,0
1985-10-27,Detroit Red Wings,3,Winnipeg Jets,5,NaN,NaN,NaN,0
1985-10-28,Edmonton Oilers,6,Calgary Flames,4,NaN,NaN,NaN,0
1985-10-29,Boston Bruins,6,New Jersey Devils,4,NaN,NaN,NaN,0
1985-10-29,Los Angeles Kings,3,New York Islanders,2,NaN,NaN,NaN,0
1985-10-29,Hartford Whalers,4,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1985-10-29,Montreal Canadiens,4,Quebec Nordiques,6,NaN,NaN,NaN,0
1985-10-29,St. Louis Blues,3,Washington Capitals,6,NaN,NaN,NaN,0
1985-10-30,Buffalo Sabres,2,Calgary Flames,4,NaN,NaN,NaN,0
1985-10-30,Pittsburgh Penguins,3,Detroit Red Wings,6,NaN,NaN,NaN,0
1985-10-30,Winnipeg Jets,3,Edmonton Oilers,7,NaN,NaN,NaN,0
1985-10-30,Quebec Nordiques,4,Hartford Whalers,6,NaN,NaN,NaN,0
1985-10-30,Chicago Black Hawks,6,Minnesota North Stars,5,NaN,NaN,NaN,0
1985-10-30,Philadelphia Flyers,5,Montreal Canadiens,4,NaN,NaN,NaN,0
1985-10-30,Toronto Maple Leafs,3,Vancouver Canucks,5,NaN,NaN,NaN,0
1985-10-31,Los Angeles Kings,4,Boston Bruins,7,NaN,NaN,NaN,0
1985-10-31,Detroit Red Wings,2,New Jersey Devils,2,NaN,NaN,OT,0
1985-11-01,Buffalo Sabres,2,Edmonton Oilers,0,NaN,NaN,NaN,0
1985-11-01,New York Islanders,3,Washington Capitals,5,NaN,NaN,NaN,0
1985-11-02,Chicago Black Hawks,4,Boston Bruins,5,NaN,NaN,NaN,0
1985-11-02,Toronto Maple Leafs,2,Calgary Flames,4,NaN,NaN,NaN,0
1985-11-02,Los Angeles Kings,8,Hartford Whalers,1,NaN,NaN,NaN,0
1985-11-02,Winnipeg Jets,3,Minnesota North Stars,1,NaN,NaN,NaN,0
1985-11-02,Pittsburgh Penguins,4,Montreal Canadiens,4,NaN,NaN,OT,0
1985-11-02,New York Rangers,5,New Jersey Devils,6,NaN,NaN,OT,0
1985-11-02,Washington Capitals,3,New York Islanders,5,NaN,NaN,NaN,0
1985-11-02,Philadelphia Flyers,5,Quebec Nordiques,3,NaN,NaN,NaN,0
1985-11-02,Detroit Red Wings,5,St. Louis Blues,5,NaN,NaN,OT,0
1985-11-02,Buffalo Sabres,2,Vancouver Canucks,6,NaN,NaN,NaN,0
1985-11-03,Toronto Maple Leafs,1,Edmonton Oilers,7,NaN,NaN,NaN,0
1985-11-03,Los Angeles Kings,4,Philadelphia Flyers,7,NaN,NaN,NaN,0
1985-11-03,St. Louis Blues,4,Winnipeg Jets,3,NaN,NaN,OT,0
1985-11-04,New York Rangers,4,Pittsburgh Penguins,2,NaN,NaN,NaN,0
1985-11-05,Montreal Canadiens,8,Hartford Whalers,3,NaN,NaN,NaN,0
1985-11-05,Calgary Flames,4,New York Islanders,4,NaN,NaN,OT,0
1985-11-05,Boston Bruins,5,Quebec Nordiques,7,NaN,NaN,NaN,0
1985-11-05,Edmonton Oilers,6,Vancouver Canucks,4,NaN,NaN,NaN,0
1985-11-05,Chicago Black Hawks,4,Washington Capitals,8,NaN,NaN,NaN,0
1985-11-06,Winnipeg Jets,3,Buffalo Sabres,7,NaN,NaN,NaN,0
1985-11-06,St. Louis Blues,2,Detroit Red Wings,4,NaN,NaN,NaN,0
1985-11-06,Edmonton Oilers,4,Los Angeles Kings,4,NaN,NaN,OT,0
1985-11-06,Montreal Canadiens,3,Minnesota North Stars,3,NaN,NaN,OT,0
1985-11-06,Calgary Flames,5,New Jersey Devils,2,NaN,NaN,NaN,0
1985-11-06,Philadelphia Flyers,5,New York Rangers,2,NaN,NaN,NaN,0
1985-11-06,Washington Capitals,4,Pittsburgh Penguins,1,NaN,NaN,NaN,0
1985-11-06,New York Islanders,5,Toronto Maple Leafs,4,NaN,NaN,NaN,0
1985-11-07,Hartford Whalers,1,Boston Bruins,2,NaN,NaN,NaN,0
1985-11-07,Chicago Black Hawks,2,Philadelphia Flyers,6,NaN,NaN,NaN,0
1985-11-08,St. Louis Blues,4,Buffalo Sabres,5,NaN,NaN,NaN,0
1985-11-08,Toronto Maple Leafs,3,Detroit Red Wings,3,NaN,NaN,OT,0
1985-11-08,Vancouver Canucks,0,Edmonton Oilers,13,NaN,NaN,NaN,0
1985-11-08,Pittsburgh Penguins,3,New Jersey Devils,5,NaN,NaN,NaN,0
1985-11-08,New York Rangers,7,Winnipeg Jets,3,NaN,NaN,NaN,0
1985-11-09,Montreal Canadiens,6,Los Angeles Kings,0,NaN,NaN,NaN,0
1985-11-09,New York Rangers,3,Minnesota North Stars,4,NaN,NaN,OT,0
1985-11-09,New Jersey Devils,2,New York Islanders,3,NaN,NaN,NaN,0
1985-11-09,Boston Bruins,3,Philadelphia Flyers,5,NaN,NaN,NaN,0
1985-11-09,Chicago Black Hawks,1,Pittsburgh Penguins,3,NaN,NaN,NaN,0
1985-11-09,Hartford Whalers,4,Quebec Nordiques,3,NaN,NaN,NaN,0
1985-11-09,St. Louis Blues,2,Toronto Maple Leafs,2,NaN,NaN,OT,0
1985-11-09,Vancouver Canucks,7,Winnipeg Jets,2,NaN,NaN,NaN,0
1985-11-09,Calgary Flames,5,Washington Capitals,4,NaN,NaN,NaN,0
1985-11-10,Minnesota North Stars,1,Boston Bruins,2,NaN,NaN,NaN,0
1985-11-10,Calgary Flames,1,Buffalo Sabres,5,NaN,NaN,NaN,0
1985-11-11,Chicago Black Hawks,5,New York Rangers,4,NaN,NaN,OT,0
1985-11-11,Detroit Red Wings,0,Vancouver Canucks,5,NaN,NaN,NaN,0
1985-11-12,Montreal Canadiens,3,New York Islanders,2,NaN,NaN,NaN,0
1985-11-12,Toronto Maple Leafs,3,St. Louis Blues,4,NaN,NaN,OT,0
1985-11-12,Edmonton Oilers,2,Washington Capitals,5,NaN,NaN,NaN,0
1985-11-13,Boston Bruins,4,Buffalo Sabres,6,NaN,NaN,NaN,0
1985-11-13,Quebec Nordiques,4,Chicago Black Hawks,6,NaN,NaN,NaN,0
