game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided
2024-04-18,Chicago Blackhawks,4,Pittsburgh Penguins,2,"18,411",2:34,
2024-04-18,Nashville Predators,3,Tampa Bay Lightning,5,"19,092",2:33,
2024-04-18,Seattle Kraken,1,Vegas Golden Knights,4,"18,724",2:22,
2024-04-18,Chicago Blackhawks,1,Boston Bruins,3,"17,850",2:29,
2024-04-18,Ottawa Senators,3,Carolina Hurricanes,5,"18,893",2:33,
2024-04-18,Winnipeg Jets,3,Calgary Flames,5,"17,414",2:32,
2024-04-18,Colorado Avalanche,5,Los Angeles Kings,2,"18,145",2:37,
2024-04-18,Montreal Canadiens,5,Toronto Maple Leafs,6,"18,948",2:46,SO
2024-04-18,Edmonton Oilers,1,Vancouver Canucks,8,"18,706",2:33,
2024-04-18,New York Rangers,5,Buffalo Sabres,1,"19,070",2:26,
2024-04-18,Philadelphia Flyers,4,Columbus Blue Jackets,2,"18,614",2:26,
2024-04-18,St. Louis Blues,1,Dallas Stars,2,"18,532",2:40,SO
2024-04-18,Florida Panthers,0,Minnesota Wild,2,"18,976",2:37,
2024-04-18,Detroit Red Wings,3,New Jersey Devils,4,"16,514",2:29,
2024-04-18,Seattle Kraken,0,Nashville Predators,3,"17,629",2:21,
2024-04-18,Vegas Golden Knights,4,San Jose Sharks,1,"17,435",2:28,
2024-04-18,Arizona Coyotes,4,New Jersey Devils,3,"16,514",2:43,SO
2024-04-18,Pittsburgh Penguins,4,Washington Capitals,0,"18,573",2:34,
2024-04-18,Nashville Predators,2,Boston Bruins,3,"17,850",2:33,
2024-04-18,New York Rangers,3,Columbus Blue Jackets,5,"16,520",2:34,
2024-04-18,Tampa Bay Lightning,4,Detroit Red Wings,6,"19,515",2:28,
2024-04-18,Vancouver Canucks,4,Edmonton Oilers,3,"18,347",2:30,
2024-04-18,Carolina Hurricanes,6,Los Angeles Kings,5,"17,517",2:57,SO
